objective,group,run,tag,file
CLM,gpt_valid/approach3_flops/154M_flops,gpt_154M_1024l_3e18flops_all0.02ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_154M_1024l_3e18flops_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/154M_flops,gpt_154M_1024l_3e19flops_all0.16ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_154M_1024l_3e19flops_all0.16ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/154M_flops,gpt_154M_1024l_6e18flops_all0.03ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_154M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_1024l_1e19flops_all0.05ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_1024l_3e19flops_all0.15ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_1024l_6e18flops_all0.03ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,tensorboard_gpt_170M_1024l_1e19flops_all0.05ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,tensorboard_gpt_170M_1024l_3e19flops_all0.15ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/170M_flops,tensorboard_gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.4B_flops,gpt_2.4b_1024l_1e21flops_all0.35ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_2.4b_1024l_1e21flops_all0.35ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.4B_flops,gpt_2.4b_1024l_3e20flops_all0.1ep_wu10,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_2.4b_1024l_3e20flops_all0.1ep_wu10-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024l_1e21flops_all0.3ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024l_1e21flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/2.8B_flops,gpt_3b_1024l_3e20flops_all0.09ep_wu10,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3b_1024l_3e20flops_all0.09ep_wu10-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/230M_flops,tensorboard_gpt_230M_1024l_1e19flops_all0.04ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_230M_1024l_1e19flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/230M_flops,tensorboard_gpt_230M_1024l_1e20flops_all0.36ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_230M_1024l_1e20flops_all0.36ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/230M_flops,tensorboard_gpt_230M_1024l_3e19flops_all0.1ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_230M_1024l_3e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
