objective,directory,run_file,N_params_no_embed,C_final_flops,D_final_tokens_C_over_6N,epoch_label,batch_label,L_final,L_min,n_logged_points,tensorboard_capped_1000,in_released_notebook_fit,content_sha256_12,identical_content_as,known_issue
CLM,13M_flops,run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,9.94218292e+17,12560569230.178366,0.06,,2.62051773071289,2.611557722091675,81,False,True,baa3849a7591,,
CLM,13M_flops,run-gpt_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,9.942389779e+18,125608305678.35428,0.63,,2.5622239112854004,2.5514636039733887,802,False,True,8c2e628cd4c6,,
CLM,13M_flops,run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,2.990598033e+18,37782058462.8026,0.19,,2.582329750061035,2.577392101287842,241,False,True,db9d01786bd9,,
CLM,13M_flops,run-gpt_10M_1024l_6e18flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,5.981237437e+18,75564639590.81242,0.38,,2.570434093475342,2.5615243911743164,482,False,True,a653f8b39336,,
CLM,13M_flops,run-gpt_10M_bsz0.5M_lr10_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,3.945390142e+18,49844532551.262146,0.25,0.5M,2.580852508544922,2.567735433578491,318,False,True,7a93a4969797,,
CLM,13M_flops,run-gpt_10M_bsz0.5M_lr10_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,1.1836211798e+19,149534120331.6273,0.75,0.5M,2.5575451850891118,2.546360969543457,954,False,True,5d036796d57d,,
CLM,13M_flops,run-gpt_10M_bsz0.5M_lr10_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320.0,1.5781601941e+19,199378652895.52304,1.0,0.5M,2.554716110229492,2.5427846908569336,1000,True,True,6441d4b8bd55,,TensorBoard export capped at 1000 points; row index is not the evaluation index
CLM,154M_flops,run-gpt_154M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288.0,1.0000639961e+19,10791788943.839464,0.05,,2.5101983547210693,2.503298759460449,69,False,True,e325e2d74f63,,
CLM,154M_flops,run-gpt_154M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288.0,9.3155628682e+19,100525155148.8008,0.5,,2.379307746887207,2.370654821395874,640,False,True,b2dd4ea692a0,,
CLM,154M_flops,run-gpt_154M_1024l_3e18flops_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288.0,2.999852144e+18,3237169953.825149,0.02,,2.637833595275879,2.6363980770111084,21,False,True,6bdf0538cc50,,
CLM,154M_flops,run-gpt_154M_1024l_3e19flops_all0.16ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288.0,3.0002405376e+19,32375890731.789787,0.16,,2.4329259395599365,2.426196813583374,206,False,True,f8e9f59c881d,,
CLM,154M_flops,run-gpt_154M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288.0,6.018638458e+18,6494771956.72552,0.03,,2.5799384117126465,2.563843250274658,42,False,True,5f34c11842f3,,
CLM,170M_flops,run-gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,1.0003931466e+19,9794332131.547623,0.05,,2.519173622131348,2.5098001956939697,63,False,True,e390b354667a,,
CLM,170M_flops,run-gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,3.00117944e+19,29382996396.60097,0.15,,2.436018228530884,2.427443504333496,187,False,True,89790f056f70,,
CLM,170M_flops,run-gpt_170M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,5.992083067e+18,5866538762.033993,0.03,,2.55914044380188,2.555121898651123,38,False,True,cce9153a67da,,
CLM,170M_flops,run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,5.1040280986e+19,49970900516.80279,0.25,0.5M,2.4063384532928467,2.387463092803955,318,False,True,8d638b572257,,
CLM,170M_flops,run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,1.02080561973e+20,99941801034.58463,0.5,0.5M,2.382333755493164,2.3628971576690674,636,False,True,32274896a5b5,,
CLM,170M_flops,run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,1.53121378158e+20,149913225537.0605,0.75,0.5M,2.3637583255767822,2.3439011573791504,954,False,True,d4f5a4acd3e1,,
CLM,170M_flops,run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,2.04161659145e+20,199884126054.84232,1.0,0.5M,2.3505280017852783,2.337078332901001,1000,True,True,e3d3e523e054,,TensorBoard export capped at 1000 points; row index is not the evaluation index
CLM,170M_flops,run-tensorboard_gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,1.0003931466e+19,9794332131.547623,0.05,,2.519173622131348,2.5098001956939697,63,False,True,e390b354667a,170M_flops/run-gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,
